2022 PSSA Grades 3 through 8 - State Level Proficiency Results  by Grade*,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"* Proficiency summary data do not include students who were resident of the state after October 1, home schooled, excluded from state aggregation, EL students who were enrolled for less than one year in US school, students who did not attempt, or COVID-19 exclusion. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,
,,,,,,,,,
Year,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic,Percent Advanced/Proficient
2022,English Language Arts,All Students,3,114398,11.8,40.6,29.7,17.9,52.3
2022,English Language Arts,All Students,4,114533,21.3,30.9,29.2,18.6,52.2
2022,English Language Arts,All Students,5,116274,13.3,40.3,28.7,17.7,53.6
2022,English Language Arts,All Students,6,115785,19.4,36.7,35.6,8.3,56.1
2022,English Language Arts,All Students,7,118352,17.8,39.5,37.7,5.1,57.2
2022,English Language Arts,All Students,8,119366,16,39.7,29.9,14.4,55.6
2022,English Language Arts,All Students,Total,698708,16.6,38,31.8,13.6,54.6
2022,English Language Arts,Economically Disadvantaged,3,54843,4.5,30.7,36.9,27.9,35.2
2022,English Language Arts,Economically Disadvantaged,4,54476,9.4,24.9,36.1,29.6,34.3
2022,English Language Arts,Economically Disadvantaged,5,54394,5,31,35.8,28.2,36.1
2022,English Language Arts,Economically Disadvantaged,6,53496,9,30.6,46.6,13.8,39.6
2022,English Language Arts,Economically Disadvantaged,7,54156,8,32.9,50.8,8.3,40.8
2022,English Language Arts,Economically Disadvantaged,8,53059,7.1,32.4,37.9,22.6,39.5
2022,English Language Arts,Economically Disadvantaged,Total,324424,7.2,30.4,40.7,21.8,37.6
2022,English Language Arts,ELL,3,6176,1.3,20.9,38.9,39,22.2
2022,English Language Arts,ELL,4,6090,3.6,16.2,35.7,44.6,19.7
2022,English Language Arts,ELL,5,5467,1,14.5,36.7,47.9,15.5
2022,English Language Arts,ELL,6,4798,1.9,14.4,54.6,29.1,16.3
2022,English Language Arts,ELL,7,4556,0.9,13.7,65.8,19.6,14.6
2022,English Language Arts,ELL,8,4552,0.7,13.7,41.5,44.1,14.4
2022,English Language Arts,ELL,Total,31639,1.6,15.8,44.5,38,17.4
2022,English Language Arts,IEP,3,20278,3.5,19.1,34.3,43.1,22.6
2022,English Language Arts,IEP,4,21150,6,14.5,31.8,47.7,20.5
2022,English Language Arts,IEP,5,21735,2.8,16.7,31.9,48.5,19.6
2022,English Language Arts,IEP,6,21311,3.6,16.1,53.2,27,19.7
2022,English Language Arts,IEP,7,21323,2.5,17.2,63.6,16.8,19.7
2022,English Language Arts,IEP,8,21439,2.2,15.8,40.6,41.4,18
