Cat,AUN,LEA Name,County,Revenue from Federal Sources 8000,"Payments for Federally Impacted Areas
P.L. 81-874
8110",Other Unrestricted Federal Grants-in-Aid Direct From the Federal Government 8190,Unrestricted Grants-in-Aid From the Federal Government Through the Commonwealth of PA 8200,"Payments for Federally Impacted Areas P.L. 81-815
8310","Energy Conservation Grants - TA and ECM
8320",Other Restricted Federal Grants-in-Aid Directly From the Federal Government 8390,"Grants for IDEA and NCLB Programs Not Specified in the Following 8510 Series
8511","IDEA, Part B 8512","IDEA, Section 619
8513","NCLB, Title I - Improving the Academic Achievement of the Disadvantaged 8514","NCLB, Title II - Preparing, Training and Recruiting High Quality Teachers and Principals 8515","NCLB, Title III - Language Instruction for English Learners and Immigrant Students 8516","NCLB, Title IV - 21st Century Schools 8517","NCLB, Title V - Flexibility and Accountability 8519",Vocational Education - Operating Expenditures 8521,Child Nutrition Program 8530,Nutrition Education and Training 8540,Federal Block Grants 8560,Child Care and Development Block Grants 8580,Adult Basic Education 8620,Economic Opportunity Act (Headstart) 8640,Workforce Investment Act (WIA) 8660,Other Restricted Federal Grants-in-Aid Through the Commonwealth of PA 8690,ARRA - Build America Bonds 8731,ARRA - Qualified School Construction Bonds (QSCB) 8732,ARRA - Qualified Zone Academy Bonds (QZAB) 8733,ARRA - Qualified Energy Conservation Bonds (QECB) 8735,ESSER - Elementary and Secondary School Emergency Relief Fund 8741,Governor's Emergency Education Relief Fund (GEER) 8742,ESSER II - Elementary and Secondary School Emergency Relief Fund 8743,ARP ESSER(ESSER III) - Elementary and Secondary School Emergency Relief Fund 8744,GEER II - Governor's Emergency Education Relief Fund 8745,ARP IDEA 8746,ARP ECF - Emergency Connectivity Fund 8747,ARP IDEA Preschool 8748,"Other CARES and CRRSA Act, and ARP ACT Funding 8749",ARP ESSER Learning Loss 8751,ARP ESSER Summer Programs 8752,ARP ESSER Afterschool Programs 8753,ARP ESSER Homeless Children and Youth Funds (ARP-HCY) 8754,ARP ESSER Emergency Relief for Other Educational Entities 8755,School Based Access Medicaid Reimbursement Program (SBAP) Reimbursements (ACCESS) 8810,Medical Assistance Reimbursements for Administrative Claiming (Quarterly) Program 8820,Medical Assistance Reimbursement (ACCESS) - Early Intervention 8830
1.0,108569103.0,Windber Area SD,Somerset,2394035.57,,,,,,,,,,406202.74,54856.5,,34730.0,,,,,,,,,,,,,,,,,888108.43,943584.13,,,,,,50490.09,1004.27,4295.87,,,1614.94,9148.6,
1.0,117576303.0,Sullivan County SD,Sullivan,736416.31,,,,,,36331.0,,,,115295.0,14628.0,,10006.0,,,,,,,,,,,,,,,,,,497357.55,,,7998.0,,,22498.74,4499.66,4499.66,,,23302.7,,
1.0,119581003.0,Blue Ridge SD,Susquehanna,1774455.34,,,,,,,,,,302531.0,39412.0,,21880.0,,,,,,,,,,,,,,,,,,1245734.25,,,,,,110084.61,17185.51,7255.33,794.0,,28739.2,839.44,
1.0,119582503.0,Elk Lake SD,Susquehanna,1743697.51,,,,,,,,,,262206.0,37904.0,4402.58,20857.0,,,,,,,,,,,,,,,,,29788.57,1267271.45,,,,,,61272.88,20825.7,3999.13,,,30000.0,5170.2,
1.0,119583003.0,Forest City Regional SD,Susquehanna,1800378.44,,,,,,81150.0,,,,216138.0,26927.0,,17192.0,,,,,,,,,,,,,,,,,194216.46,1083560.2,,,,,,40063.68,31191.61,8013.12,,,100000.0,1926.37,
1.0,119584503.0,Montrose Area SD,Susquehanna,2529960.09,,,,,,,,,,399269.0,48214.0,1215.0,35942.0,,,,,,,,,,112810.56,,,,,,,,1728198.46,,,,,,44739.13,28790.33,-447.45,,,125196.75,6032.31,
1.0,119584603.0,Mountain View SD,Susquehanna,1304952.54,,,,,,,,5274.0,,176303.7,46624.15,,16118.42,,,,,,,,,,,,,,,,,514662.32,511604.86,,,,,,18154.25,,8462.0,,,,7748.84,
1.0,119586503.0,Susquehanna Community SD,Susquehanna,1239525.46,,,,,,,,,,239131.73,32081.8,,21132.0,,,,,,,,,,,,,,,,,187718.52,683991.97,,,,,,42118.42,14077.0,13545.0,,,,5729.02,
1.0,117596003.0,Northern Tioga SD,Tioga,4114436.59,,,,,,,,,,707802.0,78746.02,,53137.3,,519.57,,,,,,,,,,,,,,,-0.67,2909356.23,,,,,,156895.48,19347.66,14539.0,,37769.0,119876.69,16448.31,
1.0,117597003.0,Southern Tioga SD,Tioga,2685160.63,,,,,,,,,,658735.03,78354.0,,54707.19,,,,,,,,,,792.31,,,,,,,910805.61,782687.15,,,,,,141235.47,,54974.84,,,,2869.03,
1.0,117598503.0,Wellsboro Area SD,Tioga,2012626.97,,,,,,,,,,438961.86,50332.55,,35441.82,,26148.0,,,,,,,,,,,,,,,,1301040.85,,,75059.41,,,61321.11,195.26,20283.38,2670.2,,,1172.53,
1.0,116604003.0,Lewisburg Area SD,Union,550404.3,,,,,,,,,,297950.0,52362.0,,21667.0,,,,628.0,,,,,,,,,,,,,,,,,,,,58905.94,11781.48,11781.21,,,91039.01,4289.66,
1.0,116605003.0,Mifflinburg Area SD,Union,2490892.71,,,,,,,,,,512658.0,85976.84,,48120.58,,,,,,,,,,,,,,,23338.21,,1239920.94,466536.58,,,,,,88383.91,24180.73,,,,,1776.92,
1.0,106611303.0,Cranberry Area SD,Venango,589106.25,,,,,,,,,,311055.74,41250.0,,26851.69,,,,,,,,,,,,,,,,,,106614.1,,,1651.8,,,74027.95,16480.35,11174.62,,,,,
1.0,106612203.0,Franklin Area SD,Venango,2629364.04,,,,,,,,,,813537.59,98340.94,,24266.7,,,,,,,,,,,,,,,,,778982.06,839235.88,,,,,,25439.4,,25485.34,24076.13,,,,
1.0,106616203.0,Oil City Area SD,Venango,3511264.1,,,,,,,,,,1548725.21,93112.02,,107027.99,49314.05,,,,,,,,,,,,,,,,10796.4,1464195.56,,,,,,733.87,33843.26,16938.22,9813.47,170223.5,1833.4,4707.15,
1.0,106617203.0,Titusville Area SD,Venango,4232149.66,,,,,,,,,,905820.49,99972.61,,74825.51,48454.47,,,,,,,,,,,,,,,,1427413.55,1427489.37,,,,,,129365.09,68531.55,13163.3,15968.98,,21144.74,,
1.0,106618603.0,Valley Grove SD,Venango,993041.76,,,,,,,,,,287164.09,48051.0,,25360.48,,,,,,,,,,,,,,,,,127197.21,405574.6,,,,,,77838.5,351.13,6378.75,15126.0,,,,
1.0,105628302.0,Warren County SD,Warren,11597735.7,127749.0,,,,,,,,,1645256.8,180520.67,,740772.22,90957.7,88739.0,,,,,,,,205885.76,,,1707605.4,,,,593403.89,4968583.56,,,353398.0,,13893.71,287233.44,-6738.78,79634.94,20721.61,142505.64,337773.53,19839.61,
1.0,101630504.0,Avella Area SD,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,101630903.0,Bentworth SD,Washington,1566693.5,,,,,,,,,,404644.98,67403.01,,33658.28,,,,,,,,,,,,,,,,,147928.42,843328.78,,,,,,8046.0,,,,,56000.0,5684.03,
1.0,101631003.0,Bethlehem-Center SD,Washington,1013908.61,,,,,,,,,,240768.0,37713.0,,20655.16,,,,,,,,,,,,,,,,,363264.5,322826.04,,,,,,1199.39,,,,20060.0,,7422.52,
1.0,101631203.0,Burgettstown Area SD,Washington,1183016.43,,,,,,,,,,219564.0,34357.92,,25549.53,,,,,,,,,,,,,,,,2996.7,140776.62,695635.92,,,,,,55134.0,523.48,5258.61,,,,3219.65,
1.0,101631503.0,California Area SD,Washington,1057473.82,,,,,,,,,,198696.73,30020.0,,13438.8,,,,,,,,,,,,,,,,,48766.76,662587.62,,,,,,23318.96,4317.75,4317.94,4000.0,,66344.48,1664.78,
1.0,101631703.0,Canon-McMillan SD,Washington,1625437.68,,,,,,,,,,378187.03,69745.9,,35881.73,,,,,,,,,,,,,,,,33607.23,115817.72,729988.57,,,,,,73372.48,,7941.64,,9976.47,160499.74,10419.17,
1.0,101631803.0,Charleroi SD,Washington,2439279.51,,,,,,,,,,640438.0,72691.0,,48527.0,40066.0,,,,,,,,,,,,,,,,,1521298.49,,,,,,89723.27,17721.05,,,,8814.7,,
1.0,101631903.0,Chartiers-Houston SD,Washington,593211.17,,,,,,,,,,162695.0,24743.0,,13277.4,,,,,,,,,,,,,,,,,,312993.37,,,,,,7511.55,,,,21860.6,50000.0,130.25,
1.0,101632403.0,Fort Cherry SD,Washington,779012.92,,,,,,,,,,190436.19,29125.0,,11415.0,,,,,,,,,,,,,,,,,127290.57,387108.89,,,,,,29750.41,,,,,3886.86,,
1.0,101633903.0,McGuffey SD,Washington,1262824.54,,,,,,,,,,326025.0,54202.0,,27163.0,,,,,,,,,,,,,,,,,294951.23,487979.15,,,,,,55845.22,6944.74,6944.96,2769.9,,,-0.66,
1.0,101636503.0,Peters Township SD,Washington,965263.41,,,,,,,,,,91575.0,50624.0,,10000.0,,,,,,,,,,,35233.27,,,,,,,548984.01,,,,,,33429.77,7138.83,7138.83,,,173866.0,7273.7,
1.0,101637002.0,Ringgold SD,Washington,3363631.77,,,,,,,,2578.91,,736174.87,98812.68,,68373.48,,,,,,,,,,,,,,,,21065.0,477691.97,1861039.71,,,,,,13826.84,54860.0,17121.49,,,,12086.82,
1.0,101638003.0,Trinity Area SD,Washington,3303635.22,,,,,,76726.33,,,,556375.0,94898.0,,40307.0,,,,,,,,,,,,,,,,,382800.0,1356456.15,,,19836.51,,,208668.0,10187.75,38051.0,4582.07,,475000.0,39747.41,
1.0,101638803.0,Washington SD,Washington,4352556.24,2821.0,,,,,,,,,770936.77,88171.43,,79180.27,,,,,,,,,,301000.0,,,,,,,1314419.53,1633076.17,,,,,,98584.64,,21075.34,1860.32,31249.6,10181.17,,
1.0,119648703.0,Wayne Highlands SD,Wayne,5517327.55,,,,,,,,,,828603.14,77832.12,1200.0,56472.6,,45035.03,,,,,,,,,,,,,,,1323123.85,2593389.38,,,,,,218876.62,30.13,-13362.21,646.5,,385480.39,,
1.0,119648903.0,Western Wayne SD,Wayne,2392083.43,,,,,,,,,,457823.88,70170.0,,38164.0,,,,,,,,,,,,,,,,,219827.84,1250330.33,,,,,,57739.56,12499.2,12499.2,688.86,,150000.0,36643.56,85697.0
1.0,107650603.0,Belle Vernon Area SD,Westmoreland,3677050.0,,,,,,,,,,526535.0,73451.0,,38946.0,,,,,,,,,,,,,,,1450.0,,331841.0,2143762.0,,,,,73969.0,108734.0,,,13500.0,,361919.0,2943.0,
1.0,107650703.0,Burrell SD,Westmoreland,1162777.1,,,,,,,,,,231118.1,37749.0,,18730.0,,,,,,,,,,,,,,,,,,720423.95,,,,,,27019.02,16213.0,,,,110039.18,1484.85,
1.0,107651603.0,Derry Area SD,Westmoreland,3551158.51,,,,,,,,,,674177.7,69592.0,,320228.97,,,,,,,,,,651.34,,,,,50.98,,1211423.6,937486.68,,,,,,107382.5,26753.6,26753.92,7225.09,15366.96,136553.88,17511.29,
1.0,107652603.0,Franklin Regional SD,Westmoreland,772965.65,,,,,,,,,,220641.0,82411.0,,20282.0,,,,,,,,,,,,,,,,,14156.46,367513.8,,,,,,24722.68,14684.0,14684.0,7282.0,,,6588.71,
1.0,107653102.0,Greater Latrobe SD,Westmoreland,5354580.34,,,,,,,,,,636739.0,103595.0,50648.0,,,,,,,,,,,,,,,,,,740889.65,3701823.73,,,,,,82618.05,25374.01,,,,,12892.9,
1.0,107653203.0,Greensburg Salem SD,Westmoreland,5451137.68,,,,,,,,,,798490.0,97209.0,,139408.0,,,,,,,,,,,,,,,,,1546461.48,2474011.45,,,,,,250188.89,59713.4,78464.65,5507.0,,,1683.81,
1.0,107653802.0,Hempfield Area SD,Westmoreland,3540312.18,,,,,,,,,,809154.0,133726.0,,65832.0,,,,,,,,,,,,,,,,,,1918983.91,,,,,,176937.7,35387.54,35388.22,20304.0,,304249.02,40349.79,
1.0,107654103.0,Jeannette City SD,Westmoreland,2507784.04,,,,,,,,,,781671.72,81523.76,,63860.09,,,,,,,,,,,,78474.1,,,3445.33,,99238.5,1370307.22,,,,,,52638.12,8016.49,-32984.15,,,,1592.86,
1.0,107654403.0,Kiski Area SD,Westmoreland,4484842.04,,,,,,26458.1,,,,927418.74,146099.06,,65933.0,,,,,,,,,,,,,,,,,535336.12,2475369.74,,,,,4932.95,235134.92,30450.79,,12200.88,18142.11,,7365.63,
1.0,107654903.0,Ligonier Valley SD,Westmoreland,1631091.85,,,,,,70330.88,,,,354817.0,52688.0,,28262.0,,,,,,,,,,,,,,88602.08,,,209600.27,674659.73,,,25888.91,,,42900.0,7140.0,1763.5,2595.08,,58177.63,13666.77,
1.0,107655803.0,Monessen City SD,Westmoreland,927252.32,,,,,,,,,,372015.0,44745.0,,29298.0,,,,,,,,,,,,,,,,,,386194.67,,,,,,73211.73,,,7004.66,4422.1,,10361.16,
1.0,107655903.0,Mount Pleasant Area SD,Westmoreland,2391132.35,,,,,,,,,,383340.86,55878.0,,33065.0,,,,,,,,,,,,,,,,,211773.89,1473278.33,,,,,,22523.81,9388.76,28985.0,13038.0,,150085.27,9775.43,
1.0,107656303.0,New Kensington-Arnold SD,Westmoreland,7242520.08,,,,,,,,,,1747880.5,138077.81,,125248.84,,,,,,,,,,,,,,,19780.92,,1670636.7,3334822.91,,,,,,12178.04,5263.49,,,74154.0,100000.0,14476.87,
1.0,107656502.0,Norwin SD,Westmoreland,2739557.9,,79636.43,,,,,,,,448350.27,86283.0,,55959.43,,,,,,,,,,,,,,,,,364230.37,1265525.54,,,,,,90823.7,33608.0,613.43,,,295932.24,18595.49,
1.0,107657103.0,Penn-Trafford SD,Westmoreland,1854150.69,,,,,,,,,,389725.0,76586.94,,31143.0,,,,,,,,,,13690.13,,,,,,,,1183423.64,,,,,24900.0,96201.68,19240.22,19240.08,,,,,
1.0,107657503.0,Southmoreland SD,Westmoreland,2270400.14,,,,,,,,,,425688.0,61806.81,,18252.24,,,,,,,,,,,,,,,,,278819.9,1476263.04,,,,,,,6706.09,,,,,2864.06,
1.0,107658903.0,Yough SD,Westmoreland,2157933.98,,,,,,,,,,359963.47,54241.45,,17086.37,,,,,,,,,,,,,,,,,32838.48,1498121.79,,,,,,78655.3,2070.42,,8018.44,,95365.72,11572.54,
1.0,119665003.0,Lackawanna Trail SD,Wyoming,544246.0,,,,,,,,,,213687.0,31333.0,,16997.0,,,,,,,,,,,,,,,,,,127566.0,,,,,,35176.0,7535.0,-1127.0,,,107618.0,5461.0,
1.0,118667503.0,Tunkhannock Area SD,Wyoming,2094702.37,,,,,,,,,,526414.0,39570.86,,38481.86,,20224.0,,,,,,,,,,,,,,6347.34,,961158.79,,,,,,15026.71,40481.56,22020.41,,54785.0,344214.22,25977.62,
1.0,112671303.0,Central York SD,York,3906214.71,,,,,,,,,,766238.87,122519.0,37164.1,66054.0,,,,,,,,,,,,,,,,,,2797384.93,,,,,,13267.0,,47358.0,,26381.69,,29847.12,
1.0,112671603.0,Dallastown Area SD,York,5019428.57,,,,,,,,,,690201.0,114604.0,23687.0,58628.0,,,,,,,,,,,,,,,,,621639.9,3463205.05,,,,,,10056.5,37407.12,,,,,,
1.0,112671803.0,Dover Area SD,York,4082480.24,,,,,,,,,,696652.41,95719.0,,60167.0,,32796.0,,,,,,,,,,,,,,,167788.96,2401986.61,,,,,,113259.28,19927.99,41313.08,22554.95,55892.0,350000.0,24422.96,
1.0,112672203.0,Eastern York SD,York,1864890.36,,,,,,,,,,497389.0,70557.0,,55884.0,,,,,,,,,,,,,,,3194.0,,608167.45,363326.9,,,,,,153334.01,43080.0,43080.0,26878.0,,,,
1.0,112672803.0,Hanover Public SD,York,3934015.0,,,,,,,,,,488448.0,101233.0,43061.0,49873.0,,,,,,,,,,,,,,,,,2910050.0,34370.0,,,,,,,9733.0,19586.0,12669.0,,264992.0,,
1.0,112674403.0,Northeastern York SD,York,2989249.57,,,,,,,,,,520411.49,97688.13,,39068.48,,,,,,,,,,,,,,,,,501671.62,1748878.12,,,,,,,47821.44,33710.29,,,,,
1.0,115674603.0,Northern York County SD,York,1291846.33,,,,,,,,,,331059.19,53499.0,,27596.0,,,,,,,,,,,,,,,,,,764386.23,,,,,,100754.25,0.02,8060.84,6490.8,,,,
1.0,112675503.0,Red Lion Area SD,York,4359660.0,,,,,,,,,,958360.0,182532.0,,110800.0,,,,,,,,,,6684.0,,,,,,,,3085359.0,,,,,,3758.0,,,,12167.0,,,
1.0,112676203.0,South Eastern SD,York,1479193.44,,,,,,,,,,336212.0,64662.0,2429.0,26744.0,,,,,,,,,,,,,,,,,,947158.59,,,8265.0,,,48957.02,15470.0,28564.0,731.83,,,,
1.0,112676403.0,South Western SD,York,587502.42,,,,,,,,,,433033.6,74940.0,,36462.0,,,,,,,,,,,,,,,,,,29061.9,,,,,,,,,,,,14004.92,
1.0,112676503.0,Southern York County SD,York,1349018.98,,,,,,,,,,322394.0,56030.0,,25291.98,,,,,,,,,,,,,,,,,343960.0,535356.0,,,,,,48778.0,,14173.0,3036.0,,,,
1.0,112676703.0,Spring Grove Area SD,York,3247329.0,,,,,,254351.0,,,,538307.21,85425.0,,45107.0,,,,,,,,,,,,,,,,,768733.76,1378862.24,,,,,,163814.14,437.42,5087.68,7203.55,,,,
1.0,115219002.0,West Shore SD,York,7390505.0,,,,,,,,,,1154415.0,197571.0,35849.0,97900.0,,,,,,,,,,,,,,,,,3319248.0,1417833.0,,,,,,126763.0,65613.0,25282.0,25345.0,7010.0,871114.0,46562.0,
1.0,112678503.0,West York Area SD,York,1973173.58,,,,,,,,,,592881.14,73420.0,13455.65,42886.41,,,,,,,,,,,,,,,,,,1198417.28,,,,,,47549.94,,,4563.16,,,,
1.0,112679002.0,York City SD,York,23055350.5,,41273.16,,,,,,,,5088527.12,506404.64,330637.97,805467.8,,,,,,,,,,,,1125634.23,428017.25,,,,7989092.75,5665073.02,,,,,,632832.9,105214.88,97951.03,115715.46,,,123508.29,
1.0,112679403.0,York Suburban SD,York,1304721.45,,,,,,,,,,337490.0,52737.67,30367.0,28483.0,,,,,,,,,,,,,,,,,218142.0,593521.9,,,,,,9211.62,21889.59,10892.42,1986.25,,,,
3.0,112015106.0,Adams County Technical Institute,Adams,121987.0,,,,,,,,,,,,,,,121987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,103020407.0,A W Beattie Career Center,Allegheny,553258.42,,,,,,,,,,,,,,,329687.0,,,,,,,,,,,,,,,,,,,,,578.97,,,,,222992.45,,,
3.0,103023807.0,Forbes Road CTC,Allegheny,1091238.95,,,,,,,,,,,,,,,521138.0,,,,,,,,,,,,,,,,,,,,,25384.95,,,,,544716.0,,,
3.0,103027307.0,Parkway West CTC,Allegheny,542559.0,,,,,,,,,,,,,,,385105.0,,,,,,,,,,,,,,,,,,,,,29720.0,,,,,127734.0,,,
3.0,103028807.0,Steel Center for Career and Technical Education,Allegheny,785313.0,,,,,,,,,,,,,,,386787.0,,,,,,,,,,,,,,,,,256798.0,,,,101107.0,,,,,40621.0,,,
3.0,128034607.0,Lenape Tech,Armstrong,549669.0,,,,,,,,,,,,,,,160165.0,,,,,,,,,,,,,,,,,120250.0,,,,6412.0,,,,,262842.0,,,
3.0,127041307.0,Beaver County CTC,Beaver,1101268.98,,,,,,,,,,,,,,,325027.0,,,,,,,,,,,,,,,,,172784.98,,,,56000.0,,,,,547457.0,,,
3.0,108051307.0,Bedford County Technical Center,Bedford,211983.26,,,,,,,,,,,,,,,114099.0,,,,,,,,,,,,,,,,,,,,,5173.96,,,,,92710.3,,,
3.0,114060557.0,Berks CTC,Berks,713841.33,,,,,,,,,,,,,,,549556.0,,,,,,,,,,,,,,,,,,,,,130389.43,,,,,33895.9,,,
3.0,114067107.0,Reading Muhlenberg CTC,Berks,1143706.48,,,,,,,,,,,,,,,538255.0,,,,,,,,,,,,,,,,,283683.79,,,,,,,,,321767.69,,,
3.0,108070607.0,Greater Altoona CTC,Blair,1024453.34,,,,,,,,,,,,,,,511939.0,,,,,,,,,,,,,,,,,,,,,139343.81,,,,,373170.53,,,
3.0,117080607.0,Northern Tier Career Center,Bradford,399574.0,,,,,,,,,,,,,,,163163.0,,,,,,,,,,,,,,,,,,,,,97086.0,,,,,139325.0,,,
3.0,122091457.0,Bucks County Technical High School,Bucks,1504750.0,,,,,,,,,,,,,564667.0,,431646.0,,,,,,,,,,,,,,,,,,,,,27559.0,,,,,480878.0,,,
3.0,122097007.0,Middle Bucks Institute of Technology,Bucks,592121.92,,,,,,,,,,,,,,,305798.0,,,,,,,,,,,,,,,,,,,,,286323.92,,,,,,,,
3.0,122099007.0,Upper Bucks County Technical School,Bucks,433894.65,,,,,,,,,,,,,,,139353.0,,,,,,,,,,,,,,,,,,,,,64827.0,,,,,229714.65,,,
3.0,104101307.0,Butler County AVTS,Butler,748415.0,,,,,,,,,,,,,,,297235.0,,,,,,,,,,,,,,,,,,,,,170327.0,,,,,280853.0,,,
