AUN,School District,County,"Total Act 1, 511 and First Class SD Taxes (6130, 6140, 6150, 6160)","Act 1 Earned Income
6131","Total Act 511 Flat
6140","Total Act 511 Proportional
6150","Per Capita
6141","Occupation
Flat 6142","Local Services / Occupational Privilege
6143","Business Privilege Flat
6145","Mechanical Device Flat
6146","Other Flat Rate Assessments
6149","Act 511 Earned Income
6151","Occupation Millage
6152","Real Estate Transfer
6153","Amusement
6154","Business Privilege Proportional
6155","Mechanical Device Percentage
6156","Mercantile
6157","Other Proportional Assessments
6159","Total Non-Real Estate First Class SD Only
6160","1st Class Earned Income
6161","Liquor Sales
6162","Cigarette Tax
6163","Sales and
Use Tax
6164",General Business Taxes 6165,"Business Use & Occupancy
6166","Non-Business Income
6167","Real Estate Transfer
6168"
112011103.0,Bermudian Springs SD,Adams,4341555.970000001,,40329.4,4301226.57,40329.4,,,,,,4032101.55,,268976.43,148.59,,,,,0.0,,,,,,,,
112011603.0,Conewago Valley SD,Adams,7584812.57,,157263.19,7427549.38,90535.5,,66727.69,,,,6701615.89,,553145.88,172787.61,,,,,0.0,,,,,,,,
112013054.0,Fairfield Area SD,Adams,2425936.19,,,2425936.19,,,,,,,2217772.0,,194710.41,13453.78,,,,,0.0,,,,,,,,
112013753.0,Gettysburg Area SD,Adams,7641462.62,,100982.44,7540480.18,,,100982.44,,,,6652325.62,,678592.29,209562.27,,,,,0.0,,,,,,,,
112015203.0,Littlestown Area SD,Adams,4573443.57,,71610.29,4501833.28,47995.4,,23614.89,,,,4156188.28,,345645.0,,,,,,0.0,,,,,,,,
112018523.0,Upper Adams SD,Adams,2598963.61,,82424.94,2516538.67,35376.8,,47048.14,,,,2392650.85,,123887.82,,,,,,0.0,,,,,,,,
103020603.0,Allegheny Valley SD,Allegheny,1357158.0,,24780.0,1332378.0,,,24780.0,,,,1159146.0,,173232.0,,,,,,0.0,,,,,,,,
103020753.0,Avonworth SD,Allegheny,3198878.95,,18777.81,3180101.14,,,18777.81,,,,2790911.14,,389190.0,,,,,,0.0,,,,,,,,
103021102.0,Baldwin-Whitehall SD,Allegheny,5714368.48,,42944.11,5671424.37,,,42944.11,,,,5055958.86,,615465.51,,,,,,0.0,,,,,,,,
103021252.0,Bethel Park SD,Allegheny,6068061.15,,4250.0,6063811.15,,,,,4250.0,,5370366.84,,693444.31,,,,,,0.0,,,,,,,,
103021453.0,Brentwood Borough SD,Allegheny,1364120.9300000002,,11041.36,1353079.57,,,11041.36,,,,1235357.07,,117722.5,,,,,,0.0,,,,,,,,
103021603.0,Carlynton SD,Allegheny,2233006.48,,,2233006.48,,,,,,,2017548.99,,215457.49,,,,,,0.0,,,,,,,,
103021752.0,Chartiers Valley SD,Allegheny,6610939.22,,76160.8,6534778.42,,,76160.8,,,,5346128.99,,639401.17,,,,549248.26,,0.0,,,,,,,,
103021903.0,Clairton City SD,Allegheny,757800.55,,11209.68,746590.87,,,11209.68,,,,412016.96,,23769.88,,295324.15,,15479.88,,0.0,,,,,,,,
103022103.0,Cornell SD,Allegheny,953908.0,,18596.0,935312.0,,,18596.0,,,,747066.0,,188246.0,,,,,,0.0,,,,,,,,
103022253.0,Deer Lakes SD,Allegheny,2246280.77,,70021.43,2176259.34,47464.25,,22557.18,,,,1928144.26,,248115.08,,,,,,0.0,,,,,,,,
103022503.0,Duquesne City SD,Allegheny,315756.5,,7745.24,308011.26,,,7745.24,,,,291925.43,,16085.83,,,,,,0.0,,,,,,,,
103022803.0,East Allegheny SD,Allegheny,1975467.45,,21760.89,1953706.56,,,21760.89,,,,1353839.52,,273391.48,,124208.54,2853.7,199413.32,,0.0,,,,,,,,
103023153.0,Elizabeth Forward SD,Allegheny,2379316.04,,22363.77,2356952.27,,,22363.77,,,,2164275.59,,192676.68,,,,,,0.0,,,,,,,,
103023912.0,Fox Chapel Area SD,Allegheny,8937465.139999999,,94765.85,8842699.29,,,94765.85,,,,8018632.05,,824067.24,,,,,,0.0,,,,,,,,
103024102.0,Gateway SD,Allegheny,5991944.899999999,,122447.8,5869497.1,,,122447.8,,,,4013039.17,,583852.86,,,,1272605.07,,0.0,,,,,,,,
103024603.0,Hampton Township SD,Allegheny,4724235.22,,,4724235.22,,,,,,,4233878.95,,490356.27,,,,,,0.0,,,,,,,,
103024753.0,Highlands SD,Allegheny,2257391.8200000003,,71123.45,2186268.37,40798.8,,30324.65,,,,2024215.07,,162053.3,,,,,,0.0,,,,,,,,
103025002.0,Keystone Oaks SD,Allegheny,3736278.55,,65416.51,3670862.04,,,65416.51,,,,3294943.56,,375918.48,,,,,,0.0,,,,,,,,
103026002.0,McKeesport Area SD,Allegheny,2839817.0,,47139.0,2792678.0,,,47139.0,,,,2241266.0,,187440.0,,221725.0,,142247.0,,0.0,,,,,,,,
103026303.0,Montour SD,Allegheny,5999035.64,,,5999035.64,,,,,,,5118695.5,,880340.14,,,,,,0.0,,,,,,,,
103026343.0,Moon Area SD,Allegheny,6139737.029999999,,99054.31,6040682.72,,,99054.31,,,,5132134.82,,862008.54,46539.36,,,,,0.0,,,,,,,,
103026402.0,Mt Lebanon SD,Allegheny,9049660.76,,42083.58,9007577.18,,,42083.58,,,,8050962.67,,956614.51,,,,,,0.0,,,,,,,,
103026852.0,North Allegheny SD,Allegheny,17124480.79,,177148.95,16947331.84,177148.95,,,,,,14764543.45,,2182788.39,,,,,,0.0,,,,,,,,
103026902.0,North Hills SD,Allegheny,8630069.81,,70633.35,8559436.46,,,70633.35,,,,6390207.36,,948021.47,,440984.99,,780222.64,,0.0,,,,,,,,
103026873.0,Northgate SD,Allegheny,1912317.0,,30417.0,1881900.0,19148.0,,11269.0,,,,1698125.0,,183775.0,,,,,,0.0,,,,,,,,
103027352.0,Penn Hills SD,Allegheny,5420933.130000001,,34359.65,5386573.48,,,34359.65,,,,4338669.98,,460821.04,,249293.94,,337788.52,,0.0,,,,,,,,
103021003.0,Pine-Richland SD,Allegheny,8791508.0,,78199.0,8713309.0,78199.0,,,,,,7524168.0,,1189141.0,,,,,,0.0,,,,,,,,
102027451.0,Pittsburgh SD,Allegheny,151723691.01999998,,,,,,,,,,,,,,,,,,151723691.01999998,136814052.17,,,,,,,14909638.85
103027503.0,Plum Borough SD,Allegheny,4498795.399999999,,86958.1,4411837.3,56296.95,,30661.15,,,,4003205.26,,408632.04,,,,,,0.0,,,,,,,,
103027753.0,Quaker Valley SD,Allegheny,5403210.0,,36555.0,5366655.0,36555.0,,,,,,4684114.0,,682541.0,,,,,,0.0,,,,,,,,
103028203.0,Riverview SD,Allegheny,1678593.77,,22181.28,1656412.49,,,22181.28,,,,1390765.68,,265646.81,,,,,,0.0,,,,,,,,
103028302.0,Shaler Area SD,Allegheny,6379620.55,,27159.8,6352460.75,,,27159.8,,,,5713265.03,,639195.72,,,,,,0.0,,,,,,,,
103028653.0,South Allegheny SD,Allegheny,1190697.2,,,1190697.2,,,,,,,1121763.8,,68933.4,,,,,,0.0,,,,,,,,
103028703.0,South Fayette Township SD,Allegheny,4382216.260000001,,71951.82,4310264.44,41311.4,,30640.42,,,,3682869.21,,627395.23,,,,,,0.0,,,,,,,,
103028753.0,South Park SD,Allegheny,2383775.52,,50138.23,2333637.29,36392.76,,13745.47,,,,2102507.45,,202737.92,28391.92,,,,,0.0,,,,,,,,
103028833.0,Steel Valley SD,Allegheny,2043454.29,,31824.22,2011630.07,,,31824.22,,,,1686360.87,,287268.03,38001.17,,,,,0.0,,,,,,,,
103028853.0,Sto-Rox SD,Allegheny,1111857.5,,15321.62,1096535.88,,,15321.62,,,,950559.62,,38960.17,,,,107016.09,,0.0,,,,,,,,
103029203.0,Upper Saint Clair SD,Allegheny,6697401.66,,,6697401.66,,,,,,,5547713.62,,780314.59,,,,369373.45,,0.0,,,,,,,,
103029403.0,West Allegheny SD,Allegheny,6466784.48,,1061731.73,5405052.75,,,113236.64,,,948495.09,4032544.0,,1372508.75,,,,,,0.0,,,,,,,,
103029553.0,West Jefferson Hills SD,Allegheny,5797817.94,,44883.19,5752934.75,,,44883.19,,,,3462353.26,,339470.68,,1588017.06,,363093.75,,0.0,,,,,,,,
103029603.0,West Mifflin Area SD,Allegheny,4071892.4099999997,,64737.57,4007154.84,,,64737.57,,,,2313364.42,,480212.6,303714.25,407584.23,,502279.34,,0.0,,,,,,,,
103029803.0,Wilkinsburg Borough SD,Allegheny,1854871.25,,13884.94,1840986.31,,,13884.94,,,,1597416.49,,243569.82,,,,,,0.0,,,,,,,,
103029902.0,Woodland Hills SD,Allegheny,6933218.36,,,6933218.36,,,,,,,6295614.98,,637603.38,,,,,,0.0,,,,,,,,
128030603.0,Apollo-Ridge SD,Armstrong,1024769.83,,26628.34,998141.49,16952.77,,9675.57,,,,927955.41,,70186.08,,,,,,0.0,,,,,,,,
128030852.0,Armstrong SD,Armstrong,4514375.05,,,4514375.05,,,,,,,4117170.99,,397204.06,,,,,,0.0,,,,,,,,
128033053.0,Freeport Area SD,Armstrong,2106542.13,,18144.75,2088397.38,,,18144.75,,,,1822188.56,,266208.82,,,,,,0.0,,,,,,,,
128034503.0,Leechburg Area SD,Armstrong,649451.95,,4099.47,645352.48,,,4099.47,,,,592881.55,,52470.93,,,,,,0.0,,,,,,,,
127040503.0,Aliquippa SD,Beaver,843556.98,,10647.04,832909.94,,,10647.04,,,,716532.88,,70792.4,,,,45584.66,,0.0,,,,,,,,
127040703.0,Ambridge Area SD,Beaver,3592575.23,,57205.63,3535369.6,14530.41,,42675.22,,,,2975121.85,,309429.29,,,,250818.46,,0.0,,,,,,,,
127041203.0,Beaver Area SD,Beaver,2585202.2199999997,,74478.55,2510723.67,37902.94,,36575.61,,,,2207227.91,,303495.76,,,,,,0.0,,,,,,,,
127041503.0,Big Beaver Falls Area SD,Beaver,1358335.9100000001,,47276.56,1311059.35,19196.93,,22800.38,,5279.25,,988155.22,,248152.59,,,,74751.54,,0.0,,,,,,,,
127041603.0,Blackhawk SD,Beaver,2828101.0999999996,,71315.59,2756785.51,35422.4,,35893.19,,,,2397225.33,,312441.65,47118.53,,,,,0.0,,,,,,,,
127042003.0,Central Valley SD,Beaver,3313249.48,,70881.16,3242368.32,,,70881.16,,,,2467248.81,,480197.5,,,,294922.01,,0.0,,,,,,,,
127042853.0,Freedom Area SD,Beaver,1347474.95,,13705.68,1333769.27,,,13705.68,,,,1202398.91,,131370.36,,,,,,0.0,,,,,,,,
127044103.0,Hopewell Area SD,Beaver,3040683.9899999998,,19655.98,3021028.01,,,19655.98,,,,2587555.95,,334742.9,,,,98729.16,,0.0,,,,,,,,
127045303.0,Midland Borough SD,Beaver,221736.87000000002,,6284.45,215452.42,,,6284.45,,,,202856.71,,12595.71,,,,,,0.0,,,,,,,,
127045653.0,New Brighton Area SD,Beaver,1234650.22,,35932.0,1198718.22,23573.65,,12358.35,,,,1002445.06,,82737.26,,113535.9,,,,0.0,,,,,,,,
127045853.0,Riverside Beaver County SD,Beaver,1442211.95,,33707.57,1408504.38,33707.57,,,,,,1272611.8,,135892.58,,,,,,0.0,,,,,,,,
127046903.0,Rochester Area SD,Beaver,897447.92,,40654.49,856793.43,19664.5,8794.67,12195.32,,,,637405.1,,108312.59,,2812.77,,108262.97,,0.0,,,,,,,,
127047404.0,South Side Area SD,Beaver,971484.17,,12258.06,959226.11,,,12258.06,,,,865806.06,,63569.46,,29850.59,,,,0.0,,,,,,,,
127049303.0,Western Beaver County SD,Beaver,659086.53,,,659086.53,,,,,,,616010.78,,43075.75,,,,,,0.0,,,,,,,,
108051003.0,Bedford Area SD,Bedford,3508858.46,1582158.0,132110.04,1794590.42,41892.1,,90217.94,,,,1544519.07,,250071.35,,,,,,0.0,,,,,,,,
108051503.0,Chestnut Ridge SD,Bedford,1093278.1600000001,,29942.3,1063335.86,29942.3,,,,,,959765.81,,103570.05,,,,,,0.0,,,,,,,,
