AUN,School District,County,"Total Act 1, 511 and First Class SD Taxes (6130, 6140, 6150, 6160)","Act 1 Earned Income
6131","Total Act 511 Flat
6140","Total Act 511 Proportional
6150","Per Capita
6141","Occupation
Flat 6142","Local Services / Occupational Privilege
6143","Business Privilege Flat
6145","Mechanical Device Flat
6146","Other Flat Rate Assessments
6149","Act 511 Earned Income
6151","Occupation Millage
6152","Real Estate Transfer
6153","Amusement
6154","Business Privilege Proportional
6155","Mechanical Device Percentage
6156","Mercantile
6157","Other Proportional Assessments
6159","Total Non-Real Estate First Class SD Only
6160","1st Class Earned Income
6161","Liquor Sales
6162","Cigarette Tax
6163","Sales and
Use Tax
6164",General Business Taxes 6165,"Business Use & Occupancy
6166","Non-Business Income
6167","Real Estate Transfer
6168"
112011103.0,Bermudian Springs SD,Adams,4175778.1799999997,,40835.3,4134942.88,40835.3,,,,,,3873714.41,,261111.88,116.59,,,,,0.0,,,,,,,,
112011603.0,Conewago Valley SD,Adams,6957477.22,,151442.31,6806034.91,86749.2,,64693.11,,,,6312078.95,,453714.71,40241.25,,,,,0.0,,,,,,,,
112013054.0,Fairfield Area SD,Adams,2316664.42,,,2316664.42,,,,,,,2141462.85,,155272.26,19929.31,,,,,0.0,,,,,,,,
112013753.0,Gettysburg Area SD,Adams,7299928.46,,78696.63,7221231.83,,,78696.63,,,,6107221.94,,818779.42,295230.47,,,,,0.0,,,,,,,,
112015203.0,Littlestown Area SD,Adams,4230814.09,,68958.35,4161855.74,45158.8,,23799.55,,,,3813142.11,,348713.63,,,,,,0.0,,,,,,,,
112018523.0,Upper Adams SD,Adams,2819707.5,,75685.17,2744022.33,33717.6,,41967.57,,,,2585141.13,,158881.2,,,,,,0.0,,,,,,,,
103020603.0,Allegheny Valley SD,Allegheny,1331086.8299999998,,38052.68,1293034.15,,,38052.68,,,,1117123.52,,175910.63,,,,,,0.0,,,,,,,,
103020753.0,Avonworth SD,Allegheny,3256424.56,,16285.94,3240138.62,,,16285.94,,,,2628657.81,,611480.81,,,,,,0.0,,,,,,,,
103021102.0,Baldwin-Whitehall SD,Allegheny,5285918.92,,36437.13,5249481.79,,,36437.13,,,,4717717.69,,531764.1,,,,,,0.0,,,,,,,,
103021252.0,Bethel Park SD,Allegheny,5550044.63,,4750.0,5545294.63,,,,,4750.0,,4987132.79,,558161.84,,,,,,0.0,,,,,,,,
103021453.0,Brentwood Borough SD,Allegheny,1259348.83,,8931.37,1250417.46,,,8931.37,,,,1123124.21,,127293.25,,,,,,0.0,,,,,,,,
103021603.0,Carlynton SD,Allegheny,2206747.0,,,2206747.0,,,,,,,1954019.0,,252728.0,,,,,,0.0,,,,,,,,
103021752.0,Chartiers Valley SD,Allegheny,6142663.350000001,,65240.19,6077423.16,,,65240.19,,,,4778111.64,,788487.73,,,,510823.79,,0.0,,,,,,,,
103021903.0,Clairton City SD,Allegheny,644225.0,,10131.0,634094.0,,,10131.0,,,,386768.0,,18848.0,,200110.0,,28368.0,,0.0,,,,,,,,
103022103.0,Cornell SD,Allegheny,800461.0,,18711.0,781750.0,,,18711.0,,,,681447.0,,100303.0,,,,,,0.0,,,,,,,,
103022253.0,Deer Lakes SD,Allegheny,2315952.32,,58819.8,2257132.52,31113.12,,27706.68,,,,1904046.74,,353085.78,,,,,,0.0,,,,,,,,
103022503.0,Duquesne City SD,Allegheny,293556.91,,6701.8,286855.11,,,6701.8,,,,273078.12,,13776.99,,,,,,0.0,,,,,,,,
103022803.0,East Allegheny SD,Allegheny,1790100.32,,22919.82,1767180.5,,,22919.82,,,,1330208.36,,108505.5,3162.0,103882.78,3161.86,218260.0,,0.0,,,,,,,,
103023153.0,Elizabeth Forward SD,Allegheny,2567273.36,,21868.88,2545404.48,,,21868.88,,,,2139739.08,,405665.4,,,,,,0.0,,,,,,,,
103023912.0,Fox Chapel Area SD,Allegheny,8857142.37,,108877.93,8748264.44,,,108877.93,,,,7772438.96,,975825.48,,,,,,0.0,,,,,,,,
103024102.0,Gateway SD,Allegheny,6538610.9399999995,,123634.93,6414976.01,,,123634.93,,,,3854888.84,,989869.82,,,,1570217.35,,0.0,,,,,,,,
103024603.0,Hampton Township SD,Allegheny,4354187.68,,,4354187.68,,,,,,,3900568.88,,453618.8,,,,,,0.0,,,,,,,,
103024753.0,Highlands SD,Allegheny,2213263.92,,79871.56,2133392.36,48205.83,,31665.73,,,,1940405.81,,192986.55,,,,,,0.0,,,,,,,,
103025002.0,Keystone Oaks SD,Allegheny,3751616.65,,62247.59,3689369.06,,,62247.59,,,,3061415.47,,627953.59,,,,,,0.0,,,,,,,,
103026002.0,McKeesport Area SD,Allegheny,2955057.0,,48625.0,2906432.0,,,48625.0,,,,2185722.0,,203066.0,,328886.0,,188758.0,,0.0,,,,,,,,
