AUN,School District,County,"Total Act 1, 511 and First Class SD Taxes (6130, 6140, 6150, 6160)","Act 1 Earned Income
6131","Total Act 511 Flat
6140","Total Act 511 Proportional
6150","Per Capita
6141","Occupation
Flat 6142","Local Services / Occupational Privilege
6143","Business Privilege Flat
6145","Mechanical Device Flat
6146","Other Flat Rate Assessments
6149","Act 511 Earned Income
6151","Occupation Millage
6152","Real Estate Transfer
6153","Amusement
6154","Business Privilege Proportional
6155","Mechanical Device Percentage
6156","Mercantile
6157","Other Proportional Assessments
6159","Total Non-Real Estate First Class SD Only
6160","1st Class Earned Income
6161","Liquor Sales
6162","Cigarette Tax
6163","Sales and
Use Tax
6164",General Business Taxes 6165,"Business Use & Occupancy
6166","Non-Business Income
6167","Real Estate Transfer
6168"
112011103.0,Bermudian Springs SD,Adams,3983274.27,,37512.1,3945762.17,37512.1,,,,,,3734258.17,,211352.69,151.31,,,,,0.0,,,,,,,,
112011603.0,Conewago Valley SD,Adams,6788970.16,,139070.48,6649899.68,84016.8,,55053.68,,,,6039571.58,,567762.8,42565.3,,,,,0.0,,,,,,,,
112013054.0,Fairfield Area SD,Adams,2232756.44,,,2232756.44,,,,,,,2039070.19,,172561.11,21125.14,,,,,0.0,,,,,,,,
112013753.0,Gettysburg Area SD,Adams,8029815.970000001,,103091.53,7926724.44,,,103091.53,,,,7051407.77,,581244.21,294072.46,,,,,0.0,,,,,,,,
112015203.0,Littlestown Area SD,Adams,3817762.1999999997,,70010.13,3747752.07,44973.1,,25037.03,,,,3454147.24,,293604.83,,,,,,0.0,,,,,,,,
112018523.0,Upper Adams SD,Adams,2879618.13,,76605.92,2803012.21,33712.1,,42893.82,,,,2633037.57,,169974.64,,,,,,0.0,,,,,,,,
103020603.0,Allegheny Valley SD,Allegheny,1457104.46,,37823.41,1419281.05,,,37823.41,,,,1096833.25,,322447.8,,,,,,0.0,,,,,,,,
103020753.0,Avonworth SD,Allegheny,3046506.0,,16152.0,3030354.0,,,16152.0,,,,2529855.0,,500499.0,,,,,,0.0,,,,,,,,
103021102.0,Baldwin-Whitehall SD,Allegheny,5371557.88,,33921.09,5337636.79,,,33921.09,,,,4716408.92,,621227.87,,,,,,0.0,,,,,,,,
103021252.0,Bethel Park SD,Allegheny,5991203.71,,6050.0,5985153.71,,,,,6050.0,,5194028.69,,791125.02,,,,,,0.0,,,,,,,,
103021453.0,Brentwood Borough SD,Allegheny,1242189.4,,8693.16,1233496.24,,,8693.16,,,,1140370.88,,93125.36,,,,,,0.0,,,,,,,,
103021603.0,Carlynton SD,Allegheny,2191936.44,,,2191936.44,,,,,,,1951662.38,,240274.06,,,,,,0.0,,,,,,,,
103021752.0,Chartiers Valley SD,Allegheny,6781710.149999999,,72045.35,6709664.8,,,72045.35,,,,5490971.97,,698129.26,,,,520563.57,,0.0,,,,,,,,
103021903.0,Clairton City SD,Allegheny,553596.0,,9908.0,543688.0,,,9908.0,,,,393954.0,,41163.0,,89443.0,,19128.0,,0.0,,,,,,,,
