Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,All Fund Types,Unnamed: 5,Governmental Fund Types -- Debt Outstanding at Beginning of Fiscal Year,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Governmental Fund Types -- Additional Debt During Year,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Governmental Fund Types -- Retirements and Repayments,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Governmental Fund Types -- Debt Outstanding at End of Fiscal Year,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Proprietary Fund Types -- Debt Outstanding at Beginning of Fiscal Year,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Proprietary Fund Types -- Additional Debt During Year,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Proprietary Fund Types -- Retirements and Repayments,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Proprietary Fund Types -- Debt Outstanding at End of Fiscal Year,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69
,AUN,LEA Name,County,Debt Outstanding at Beginning of Fiscal Year,Debt Outstanding at End of Fiscal Year,Short-Term Borrowing,"General
Obligation Bonds","Authority
Building
Obligations",Other Long-Term Debt,Other Post-Employment Benefits,Compensated Absences,Net Pension Liability,TOTAL,Short-Term Borrowing,"General
Obligation Bonds","Authority
Building
Obligations",Other Long-Term Debt,Other Post-Employment Benefits,Compensated Absences,Net Pension Liability,TOTAL,Short-Term Borrowing,"General
Obligation Bonds","Authority
Building
Obligations",Other Long-Term Debt,Other Post-Employment Benefits,Compensated Absences,Net Pension Liability,TOTAL,Short-Term Borrowing,"General
Obligation Bonds","Authority
Building
Obligations",Other Long-Term Debt,Other Post-Employment Benefits,Compensated Absences,Net Pension Liability,TOTAL,Short-Term Borrowing,"General
Obligation Bonds","Authority
Building
Obligations",Other Long-Term Debt,Other Post-Employment Benefits,Compensated Absences,Net Pension Liability,TOTAL,Short-Term Borrowing,"General
Obligation Bonds","Authority
Building
Obligations",Other Long-Term Debt,Other Post-Employment Benefits,Compensated Absences,Net Pension Liability,TOTAL,Short-Term Borrowing,"General
Obligation Bonds","Authority
Building
Obligations",Other Long-Term Debt,Other Post-Employment Benefits,Compensated Absences,Net Pension Liability,TOTAL,Short-Term Borrowing,"General
Obligation Bonds","Authority
Building
Obligations",Other Long-Term Debt,Other Post-Employment Benefits,Compensated Absences,Net Pension Liability,TOTAL
1.0,112011103,Bermudian Springs SD,Adams,104594325,96210659,,52100000,,317736,8846404,394185,42936000,104594325,,0,,179263,255873,0,0,435136,,1610000,,168682,0,29120,7011000,8818802,,50490000,,328317,9102277,365065,35925000,96210659,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
1.0,112011603,Conewago Valley SD,Adams,147757494,129602140,,44435000,,1464185,10016449,798860,91043000,147757494,,7287000,,0,402050,2322,0,7691372,,10330000,,551726,0,0,14965000,25846726,,41392000,,912459,10418499,801182,76078000,129602140,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
1.0,112013054,Fairfield Area SD,Adams,48683441.25,47688371.79,,22535000,,227044.25,1951160,111941,23368707,48193852.25,,0,,49353.27,0,75864,0,125217.26999999999,,1010000,,118068.73,0,0,0,1128068.73,,21525000,,158328.79,1951160,187805,23368707,47191000.79,,,,,25646,0,463943,489589,,,,,0,7782,0,7782,,,,,0,0,0,0,,,,,25646,7782,463943,497371
1.0,112013753,Gettysburg Area SD,Adams,142564466,149716812,,49230000,,,9358199,1808106,80439883,140836188,,23655000,,,510415,84827,0,24250242,,4010000,,,0,0,12946347,16956347,,68875000,,,9868614,1892933,67493536,148130083,,,,,140547,44652,1543079,1728278,,,,,11838,0,0,11838,,,,,0,9965,143422,153387,,,,,152385,34687,1399657,1586729
1.0,112015203,Littlestown Area SD,Adams,77883409,68731922,,23110000,,1021764,5307886,412339,46999820,76851809,,0,,28055,0,0,0,28055,,880000,,98927,320497,19012,7690060,9008496,,22230000,,950892,4987389,393327,39309760,67871368,,,,,68281,4139,959180,1031600,,,,,0,0,0,0,,,,,13726,380,156940,171046,,,,,54555,3759,802240,860554
1.0,112018523,Upper Adams SD,Adams,77821354.19,69947277.19,,34350000,,1483239.19,3562885,363230,38062000,77821354.19,,3250000,,0,247223,0,0,3497223,,4365000,,560539,0,38761,6407000,11371300,,33235000,,922700.19,3810108,324469,31655000,69947277.19,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0
1.0,103020603,Allegheny Valley SD,Allegheny,59555831,53025406,,25725000,,149343,2971764,303509,30406215,59555831,,8750000,,0,156434,0,0,8906434,,10230000,,72867,0,18777,5638429,15960073,,24245000,,76476,3128198,284732,24767786,52502192,,,,,,,0,0,,,,,,,523214,523214,,,,,,,0,0,,,,,,,523214,523214
1.0,103020753,Avonworth SD,Allegheny,88868638,91801897,,35780212,,367906,3304810,444259,48318431,88215618,,9955000,,0,383578,16065,0,10354643,,1465212,,39644,0,0,5775489,7280345,,44270000,,328262,3688388,460324,42542942,91289916,,,,,27451,,625569,653020,,,,,472,,0,472,,,,,0,,141511,141511,,,,,27923,,484058,511981
1.0,103021102,Baldwin-Whitehall SD,Allegheny,189460508,182790182,44295,74754000,,,7770874,1048885,103915083,187533137,650000,30315000,,,0,40504,0,31005504,44295,16809000,,,134281,0,20544842,37532418,650000,88260000,,,7636593,1089389,83370241,181006223,,,,,,27454,1899917,1927371,,,,,,15746,0,15746,,,,,,0,159158,159158,,,,,,43200,1740759,1783959
