CONTACT:,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Data Collection Team,,,,,,
"PA Department of Education, Office of Administration",,,,,,
Data Quality Office,,,,,,
333 Market Street,,,,,,
"Harrisburg, PA  17126-0333",,,,,,
Email:  Ra-DDQDataCollection@pa.gov,,,,,,
,,,,,,
"This workbook contains 2020-21 low income enrollments for all publicly funded schools in Pennsylvania as reported by school districts, area vocational-technical schools, intermediate units, charter schools, and state juvenile correctional institutions.  Local education agencies were asked to report those economically disadvantaged students who were enrolled and attending as of October 1, 2020.",,,,,,
,,,,,,
,,,,,,
,,,,,,
"Students reported at off-site locations are counted at the LEA level, but are not counted at the school level.  Because of this, the sum of school counts may not equal LEA counts.  ",,,,,,
,,,,,,
,,,,,,
Federal Teacher Loan Forgiveness Program information is located at the Federal Website:  ,,,,,,
www.studentaid.ed.gov/LoanForgivenessForTeachers,,,,,,
"To qualify as a designated Low Income School, the School's Low Income Percentage must be 30.1% or more.  Schools qualify individually on an annual basis.",,,,,,
The Federal Designated Low Income Directory is located at,,,,,,https://studentloans.gov/myDirectLoan/tcli.action
,,,,,,
LEA Type codes are:,,,,,,
OCCCTC - Occupational Career & Technical School,,,,,,
COMCTC - Comprehensive Career & Technical School,,,,,,
CS - Charter School,,,,,,
IU - Intermediate Unit,,,,,,
SD - School District,,,,,,
SJCI - State Juvenile Correctional Institutions,,,,,,
,,,,,,
rev. 4/27/2021,,,,,,
AM,,,,,,
Source: Pennsylvania Information Management System (PIMS),,,,,,
