Public High School Graduates and Postsecondary Education Rates,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
School Year: 2021-2022,,,,,,,,,
,,,,,,,,,
Table 1: Statistical Highlights,,,,,,,,,
2021-2022 School Year,,,,,,,,,
Total,,,,,,,,,
GRADUATE COUNT,,COLLEGE BOUND,,,,,SUMMARY (TOTAL COLLEGE BOUND %),,
125798,,75511,,,,,0.600255965913608,,
,,,,,,,,,
Gender,,,,,,,,,
GENDER,GRADUATE COUNT,,COLLEGE BOUND,,,SUMMARY (TOTAL COLLEGE BOUND %),,,
Female,62318,,42460,,,0.681344073943323,,,
Male,63480,,33051,,,0.520652173913044,,,
Race/Ethnicity,,,,,,,,,
RACE,,,,GRADUATE COUNT,,COLLEGE BOUND,,SUMMARY (TOTAL COLLEGE BOUND %),
American Indian / Alaskan Native,,,,189,,103,,0.544973544973545,
Asian,,,,5615,,4642,,0.826714158504007,
Black or African American,,,,16205,,8565,,0.528540573896945,
Hispanic,,,,14295,,6651,,0.465267576075551,
Multi-Racial,,,,4007,,2197,,0.548290491639631,
Native Hawaiian or other Pacific Islander(not hispanic),,,,107,,67,,0.626168224299065,
White,,,,85380,,53286,,0.624104005621925,
Public High School Graduates by Race and Gender,,,,,,,,,
2021-2022 School Year,,,,,,,,,
GRADUATE COUNT,,,,,,Female,,,Male
American Indian / Alaskan Native,,,,,,95,,,94
Asian,,,,,,2895,,,2720
Black or African American,,,,,,8312,,,7893
Hispanic,,,,,,7174,,,7121
Multi-Racial,,,,,,2022,,,1985
Native Hawaiian or other Pacific Islander(not hispanic),,,,,,56,,,51
White,,,,,,41764,,,43616
,,,,,,,,,
Postgraduate Activities,,,,,,,,,
2021-2022 School Year,,,,,,,,,
TOTAL SCHOOLS,,,,,694.0,,,,
TOTAL GRADUATES,,,,,125798.0,,,,
TOTAL POSTSECONDARY BOUND,,,,,78377.0,,,0.623038522075073,
TOTAL COLLEGE BOUND,,,,,75511.0,,,0.600255965913608,
2- OR 4- YEAR COLLEGE OR UNIVERSITY,,,,,73420.0,,,0.583634080033069,
SPECIALIZED ASSOCIATE DEGREE-GRANTING INSTITUTION,,,,,2091.0,,,0.0166218858805386,
NON-DEGREE-GRANTING POSTSECONDARY SCHOOL,,,,,2866.0,,,0.0227825561614652,
