AUN,School District,County,"Total Act 1, 511 and First Class SD Taxes (6130, 6140, 6150, 6160)","Act 1 Earned Income
6131","Total Act 511 Flat
6140","Total Act 511 Proportional
6150","Per Capita
6141","Occupation
Flat 6142","Local Services / Occupational Privilege
6143","Business Privilege Flat
6145","Mechanical Device Flat
6146","Other Flat Rate Assessments
6149","Act 511 Earned Income
6151","Occupation Millage
6152","Real Estate Transfer
6153","Amusement
6154","Business Privilege Proportional
6155","Mechanical Device Percentage
6156","Mercantile
6157","Other Proportional Assessments
6159","Total Non-Real Estate First Class SD Only
6160","1st Class Earned Income
6161","Liquor Sales
6162","Cigarette Tax
6163","Sales and
Use Tax
6164","Business Use & Occupancy
6166","Non-Business Income
6167","Real Estate Transfer
6168","Current Mercantile
6169"
112011103.0,Bermudian Springs SD,Adams,3654063.02,,36344.2,3617718.82,36344.2,0.0,0.0,0.0,0.0,0.0,3470641.5,0.0,146895.09,182.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112011603.0,Conewago Valley SD,Adams,6275995.95,,141429.65,6134566.3,84058.79,0.0,57370.86,0.0,0.0,0.0,5717770.74,0.0,364726.55,52069.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112013054.0,Fairfield Area SD,Adams,2311068.53,,,2311068.53,0.0,0.0,0.0,0.0,0.0,0.0,2164620.69,0.0,125800.21,20647.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112013753.0,Gettysburg Area SD,Adams,7470177.04,,89249.26,7380927.78,0.0,0.0,89249.26,0.0,0.0,0.0,6311021.95,0.0,652296.54,417609.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112015203.0,Littlestown Area SD,Adams,3250522.16,,64930.23,3185591.93,43343.5,0.0,21586.73,0.0,0.0,0.0,1655079.45,1282657.37,247855.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112018523.0,Upper Adams SD,Adams,2682492.6300000004,,103801.97,2578690.66,33316.2,0.0,70485.77,0.0,0.0,0.0,2453584.44,0.0,125106.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103020603.0,Allegheny Valley SD,Allegheny,1192523.1300000001,,34201.86,1158321.27,0.0,0.0,34201.86,0.0,0.0,0.0,1035252.78,0.0,123068.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103020753.0,Avonworth SD,Allegheny,2991283.57,,15624.78,2975658.79,0.0,0.0,15624.78,0.0,0.0,0.0,2402413.96,0.0,573244.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103021102.0,Baldwin-Whitehall SD,Allegheny,4847066.35,,34235.08,4812831.27,0.0,0.0,34235.08,0.0,0.0,0.0,4457007.61,0.0,355823.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103021252.0,Bethel Park SD,Allegheny,5258273.3,,1150.0,5257123.3,0.0,0.0,0.0,0.0,1150.0,0.0,4791699.96,0.0,465423.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
