AUN,School District,County,Tuition to Other SDs in the State,"Tuition to Brick & Mortar Charter
Schools:
Nonspecial","Tuition to Cyber Charter
Schools:
Nonspecial","Tuition to Brick & Mortar Charter
Schools:
Special","Tuition to Cyber Charter
Schools:
Special",Tuition to Nonpublic Schools,Tuition to CTCs,Tuition to Higher Ed and Technical Institutes,Tuition to Approved Private Schools,Tuition to PRRIs and Detention Centers,Tuition to Other LEAs
127045653.0,New Brighton Area SD,Beaver,125754.66,304570.54,445690.12,190425.23,253366.96,260388.09,476548.97,,231150.29,170957.68,
127045853.0,Riverside Beaver County SD,Beaver,55532.62,50136.58,367402.37,0.0,187910.82,,291508.9,,269939.79,,480.0
127046903.0,Rochester Area SD,Beaver,3372.88,826668.53,258861.22,224773.59,449490.41,107200.55,195504.03,,86416.86,58932.81,980.0
127047404.0,South Side Area SD,Beaver,75572.56,182415.41,284294.58,87238.75,132408.83,58353.46,299020.25,20447.94,23486.48,25170.0,
127049303.0,Western Beaver County SD,Beaver,,178845.18,174701.18,25920.26,265696.94,118737.77,217412.07,,80326.14,44342.2,
108051003.0,Bedford Area SD,Bedford,407650.56,1507084.8,373664.36,285808.56,123758.68,,486958.51,,,,
108051503.0,Chestnut Ridge SD,Bedford,139752.3,109349.59,412130.23,96924.23,364654.73,,213350.64,,175799.44,35682.56,
108053003.0,Everett Area SD,Bedford,134053.07,,298712.55,,346502.91,,414497.92,,,51415.16,
108056004.0,Northern Bedford County SD,Bedford,279049.44,,176139.34,,53078.87,,83406.32,,,,1005.0
108058003.0,Tussey Mountain SD,Bedford,58472.32,,243360.37,,155735.48,,145869.23,,,54771.39,
114060503.0,Antietam SD,Berks,118628.57,,439702.28,,418059.66,483415.62,410007.28,,23409.93,21354.65,244500.0
114060753.0,Boyertown Area SD,Berks,46490.34,119622.4,2702981.53,0.0,2208678.53,569791.15,2025793.99,,967297.78,61082.0,
114060853.0,Brandywine Heights Area SD,Berks,21926.64,237649.24,411056.53,281883.52,236034.13,447551.44,579267.07,,148483.14,28186.27,431.82
114061103.0,Conrad Weiser Area SD,Berks,147562.1,,561803.67,,828336.99,999058.77,810952.17,,65074.32,,1002.16
114061503.0,Daniel Boone Area SD,Berks,203644.6,,1322732.44,,906003.4,1346230.82,1029163.03,,271350.99,5388.76,22744.23
114062003.0,Exeter Township SD,Berks,96855.66,,728476.48,,1164767.85,1355811.82,1182215.46,,82024.05,18565.08,8468.31
114062503.0,Fleetwood Area SD,Berks,57136.09,,693836.53,,425785.62,1704.51,1187162.6,,1363614.14,30495.07,
114063003.0,Governor Mifflin SD,Berks,237.4,,582451.99,,561291.41,2871576.86,1422523.03,,259782.07,50038.39,
114063503.0,Hamburg Area SD,Berks,83637.85,139160.25,728498.2,138306.67,459943.43,1187791.37,913992.14,27014.0,85752.33,68475.29,
114064003.0,Kutztown Area SD,Berks,283740.82,585817.37,836667.36,219798.61,310057.87,77290.0,609293.39,,21294.06,634.87,235440.0
114065503.0,Muhlenberg SD,Berks,32608.9,,627069.63,,687764.83,798644.18,2265815.77,,90093.76,257206.63,3653.37
114066503.0,Oley Valley SD,Berks,3548.26,,561982.88,,536447.62,1272297.92,791803.06,,8422.84,6244.77,
114067002.0,Reading SD,Berks,1046714.96,18638.1,4434244.86,42940.04,5832156.64,8835126.43,5477915.49,6916.09,653594.54,403171.7,
114067503.0,Schuylkill Valley SD,Berks,346412.17,,1159054.85,,0.0,,757955.53,,59981.34,469099.31,
114068003.0,Tulpehocken Area SD,Berks,47929.41,,594824.42,,311509.85,360098.42,657329.31,,,63133.92,25991.54
114068103.0,Twin Valley SD,Berks,37516.65,,1082097.67,,1461908.5,1165058.43,1304436.29,,264082.08,828111.29,199.5
114069103.0,Wilson SD,Berks,222023.99,,788140.8,,952606.45,2060863.27,1045000.24,,50918.86,20782.85,
114069353.0,Wyomissing Area SD,Berks,299497.17,,455919.81,,321646.06,,517328.18,,215496.93,117679.79,
108070502.0,Altoona Area SD,Blair,334165.66,,1985808.1,,1658195.26,1149340.67,2866092.96,,51258.37,63651.85,3150.0
108071003.0,Bellwood-Antis SD,Blair,4916.11,,189877.4,,220023.71,,375074.86,,,150501.81,
108071504.0,Claysburg-Kimmel SD,Blair,123005.5,,75589.44,,67836.5,58457.44,327540.0,,,3028.11,
108073503.0,Hollidaysburg Area SD,Blair,42337.69,,623508.71,,503049.38,,1366770.48,,,221923.38,273553.04
108077503.0,Spring Cove SD,Blair,225.53,,435953.06,,193048.73,,514104.96,,563.9,244560.02,4773.6
108078003.0,Tyrone Area SD,Blair,19876.0,170531.19,539650.81,101481.41,179428.59,,407115.0,,80215.0,1871.0,58106.0
108079004.0,Williamsburg Community SD,Blair,16160.45,18776.19,237185.38,105909.0,38549.22,,243172.94,195.0,,11381.7,125333.69
117080503.0,Athens Area SD,Bradford,194356.84,,724447.82,,472685.39,,655034.6,,,,
117081003.0,Canton Area SD,Bradford,47163.22,,304569.28,,124698.25,,318025.9,,66.81,1472.29,
117083004.0,Northeast Bradford SD,Bradford,26481.63,,208738.63,,98801.9,,210442.0,,,,2284.0
117086003.0,Sayre Area SD,Bradford,158024.66,,318126.18,,341270.82,20519.44,325535.11,,44572.09,34804.14,
117086503.0,Towanda Area SD,Bradford,151027.41,,243656.86,,368368.04,,483229.56,,1578.61,,549189.1
117086653.0,Troy Area SD,Bradford,668937.45,,573864.2,,659191.25,,445156.56,,,,
117089003.0,Wyalusing Area SD,Bradford,-134.0,,798035.77,,176303.52,,385623.54,,51258.37,42324.74,209225.0
122091002.0,Bensalem Township SD,Bucks,93937.23,12133008.8,1811909.27,3629382.02,1229925.77,1819440.07,4576358.0,,523629.64,28643.82,3450.0
122091303.0,Bristol Borough SD,Bucks,88180.11,508876.15,924656.42,0.0,0.0,,852517.0,,308863.0,102045.88,
122091352.0,Bristol Township SD,Bucks,497691.55,2089407.25,2105807.98,2797793.98,1653698.31,3494200.68,6396376.0,16225.33,1095827.78,11796.34,
122092002.0,Centennial SD,Bucks,3174.53,337620.41,1099719.56,113628.9,679282.55,2138265.96,2877195.08,,319205.66,263.86,
122092102.0,Central Bucks SD,Bucks,34724.09,146094.0,2111838.01,72282.0,1044998.09,2511074.98,5145890.48,1172.92,141458.31,65213.04,569241.49
122092353.0,Council Rock SD,Bucks,201858.23,300068.14,1414602.55,325733.37,1325345.11,884417.09,2127064.61,,439229.92,13531.64,209184.98
122097203.0,Morrisville Borough SD,Bucks,243036.0,595690.0,719521.0,158822.0,29077.0,,749915.0,,66216.0,158435.0,
122097502.0,Neshaminy SD,Bucks,19695.14,,2267883.94,,1374557.61,1824720.22,5139782.0,92218.14,448295.52,174325.22,129518.54
122097604.0,New Hope-Solebury SD,Bucks,,80015.96,240047.88,0.0,0.0,,187778.02,,28263.86,,577045.4
122098003.0,Palisades SD,Bucks,29606.9,732901.15,943553.51,141125.37,301766.06,146706.72,1092861.0,11880.0,157708.68,6920.64,111364.78
122098103.0,Pennridge SD,Bucks,92063.64,235539.58,1494774.34,34043.27,847395.06,1689516.1,3526408.55,,304014.87,,
122098202.0,Pennsbury SD,Bucks,374652.17,2130351.81,1630498.63,1445914.37,1229611.64,3109798.43,5290763.0,,377620.18,38694.92,57061.98
122098403.0,Quakertown Community SD,Bucks,151950.93,460720.49,1958238.51,498700.66,1103567.57,187218.56,3722915.21,,192239.18,283521.72,390392.45
104101252.0,Butler Area SD,Butler,226711.94,140158.37,2270018.88,98958.21,1476140.87,1332666.57,1936203.09,69550.0,1052725.12,177226.68,
104103603.0,Karns City Area SD,Butler,,,615741.92,,0.0,,504606.98,,36038.99,9.95,
104107803.0,Knoch SD,Butler,53650.65,,846944.69,,603959.95,,470738.59,,49653.87,339070.08,
104105003.0,Mars Area SD,Butler,12747.55,81907.2,820536.08,83794.83,641808.45,748246.52,238011.7,,241839.26,8451.65,158.25
104105353.0,Moniteau SD,Butler,166191.81,,327273.47,,101845.4,260212.56,241225.33,,21745.11,,
104107903.0,Seneca Valley SD,Butler,56090.29,215015.02,1036167.85,126150.28,809595.91,1513184.77,625595.7,,711490.01,12255.22,
104107503.0,Slippery Rock Area SD,Butler,291699.07,,928524.99,,590019.34,,472531.0,,221645.83,,
108110603.0,Blacklick Valley SD,Cambria,47712.95,,226871.36,,176384.53,,339886.48,,134692.12,348319.06,157555.95
108111203.0,Cambria Heights SD,Cambria,510.79,,411572.18,,141998.7,,548470.8,,,,
108111303.0,Central Cambria SD,Cambria,,,,,,,,,,,
108111403.0,Conemaugh Valley SD,Cambria,152753.89,,457836.69,,0.0,,126883.78,,,,
108112003.0,Ferndale Area SD,Cambria,73847.22,,530662.73,,220706.23,,238325.63,,,,
108112203.0,Forest Hills SD,Cambria,85097.39,,202454.36,,154917.05,96661.15,659829.27,,,185231.06,
108112502.0,Greater Johnstown SD,Cambria,478957.99,,1817614.33,,2210662.04,,89879.69,142885.0,77074.29,25599.05,
108114503.0,Northern Cambria SD,Cambria,108690.64,,399527.63,,374517.01,,218376.39,,,,
108116003.0,Penn Cambria SD,Cambria,8207.75,,369320.52,,353625.97,,615861.53,,,,380930.57
108116303.0,Portage Area SD,Cambria,15306.47,,377521.05,,77032.12,,332514.91,,,1658.0,
108116503.0,Richland SD,Cambria,59275.75,,204851.2,,133483.53,,433974.51,,51258.37,20313.25,
108118503.0,Westmont Hilltop SD,Cambria,27726.09,,314552.26,,209570.19,135578.12,335309.49,,,384.34,
109122703.0,Cameron County SD,Cameron,104683.0,,313594.0,,285790.0,,207014.0,,80304.0,,
121135003.0,Jim Thorpe Area SD,Carbon,152340.16,,2128786.19,,1952577.9,1434810.53,1291182.0,221410.04,,152117.36,
121135503.0,Lehighton Area SD,Carbon,121151.67,,1705772.41,,1026195.83,260381.3,1633527.3,234533.04,24440.28,3740.2,
121136503.0,Palmerton Area SD,Carbon,143483.31,79222.7,1129804.76,0.0,807766.43,1173284.14,2202975.78,202846.04,,,
121136603.0,Panther Valley SD,Carbon,29666.81,0.0,2901828.52,118436.39,0.0,,922110.38,,-18041.36,3282896.88,
121139004.0,Weatherly Area SD,Carbon,553.51,,462195.18,,252584.5,31170.0,252466.0,27280.0,,737923.67,
110141003.0,Bald Eagle Area SD,Centre,37261.3,,797146.07,,749222.04,745.44,1610249.92,,2497.52,190872.26,319.0
110141103.0,Bellefonte Area SD,Centre,68059.32,1408571.5,424872.96,615470.19,983468.88,77500.0,2051134.16,,13651.52,17062.41,
110147003.0,Penns Valley Area SD,Centre,4073.04,373442.82,500342.6,274976.45,240532.07,,954935.21,,,170045.88,
110148002.0,State College Area SD,Centre,138200.11,3210569.65,877513.89,1332509.47,334882.15,,5982.03,,,72202.4,1445638.73
124150503.0,Avon Grove SD,Chester,64356.9,6736542.99,882997.75,2657249.79,325831.15,259042.76,114356.75,,276717.72,,
124151902.0,Coatesville Area SD,Chester,276839.31,26710742.59,3278331.39,20972434.33,1547259.88,634309.4,3405888.0,120465.0,2616575.01,53151.87,
124152003.0,Downingtown Area SD,Chester,59421.75,2872643.2,1598282.07,1492804.05,578203.99,917613.72,2792155.0,81540.11,621920.03,,237045.66
124153503.0,Great Valley SD,Chester,27451.53,223151.91,1335616.0,106984.6,824393.0,352199.63,1096069.85,,974857.01,589269.94,535304.69
124154003.0,Kennett Consolidated SD,Chester,151643.9,1432887.65,538880.77,741688.37,304820.77,444090.0,1961970.18,4050.0,85381.88,,
124156503.0,Octorara Area SD,Chester,320671.35,1733631.1,497686.1,885641.87,495014.03,1210.0,973369.0,8127.0,196773.6,495144.13,
124156603.0,Owen J Roberts SD,Chester,81908.1,976593.17,1138538.26,652921.75,869352.81,337941.89,1057174.0,2470.0,307674.31,1832.24,425.0
124156703.0,Oxford Area SD,Chester,177129.96,4230152.94,812592.41,2496552.58,952315.58,455209.28,2433022.5,47550.0,329907.68,127564.8,
124157203.0,Phoenixville Area SD,Chester,78747.05,3835178.43,,1544263.17,,438367.21,728388.0,48125.0,283640.66,57951.6,238516.76
124157802.0,Tredyffrin-Easttown SD,Chester,116039.96,67446.69,746827.77,0.0,0.0,163642.0,681178.0,,1379372.06,,1875062.04
124158503.0,Unionville-Chadds Ford SD,Chester,321167.91,28232.72,442312.59,30995.12,175639.01,,830106.27,,90672.32,,207576.93
124159002.0,West Chester Area SD,Chester,149088.05,2734791.64,1968394.66,1843038.48,1265903.92,583876.04,2680374.87,,1925059.4,4694.18,498133.69
106160303.0,Allegheny-Clarion Valley SD,Clarion,37988.23,,967038.88,,0.0,,314941.88,,,107185.88,
106161203.0,Clarion Area SD,Clarion,202766.05,,357461.39,,303094.28,,210497.23,,1152.47,,113633.02
106161703.0,Clarion-Limestone Area SD,Clarion,43299.54,,344871.96,,245456.5,,231742.59,,,,
106166503.0,Keystone SD,Clarion,172579.96,,633847.69,,299774.42,,574675.68,,66420.87,7375.85,
106167504.0,North Clarion County SD,Clarion,38978.94,,155004.44,,117521.9,,380628.72,,51258.37,,
106168003.0,Redbank Valley SD,Clarion,229549.47,,1189426.42,,0.0,155323.68,497808.98,,,9600.09,
106169003.0,Union SD,Clarion,85566.49,,221113.41,,218558.36,,359050.82,,,54031.8,158250.05
110171003.0,Clearfield Area SD,Clearfield,199405.09,12663.63,945324.7,30811.78,880569.86,,1243571.12,,,51012.7,1109194.44
110171803.0,Curwensville Area SD,Clearfield,52240.19,,218234.25,,42136.59,,705459.96,,,23569.45,768400.92
106172003.0,DuBois Area SD,Clearfield,1003190.04,,793399.22,,777737.83,,2683017.08,,1286633.82,,
110173003.0,Glendale SD,Clearfield,63137.49,,247399.5,,343371.85,,238981.1,,,192684.13,
110173504.0,Harmony Area SD,Clearfield,8631.21,,74155.77,,61557.56,,113552.47,,,16405.43,
110175003.0,Moshannon Valley SD,Clearfield,19711.36,13695.5,423585.97,1073.72,130153.98,980321.0,751618.14,,,51519.02,1087.8
110177003.0,Philipsburg-Osceola Area SD,Clearfield,219792.26,196191.02,768109.98,423018.69,16000.0,30364.47,756218.61,,56.79,38073.03,245.0
110179003.0,West Branch Area SD,Clearfield,48604.9,,348526.44,,163376.17,500464.48,923803.23,,82258.37,2163.04,
110183602.0,Keystone Central SD,Clinton,1215284.5,3541205.23,2042054.8,2670786.62,991023.4,,,,73607.11,,
116191004.0,Benton Area SD,Columbia,159087.15,,130963.52,,36051.23,,396401.3,1080.0,,4155.5,86395.0
116191103.0,Berwick Area SD,Columbia,296226.57,,1305134.07,,240723.36,,2369085.0,6600.0,791070.09,99267.97,
116191203.0,Bloomsburg Area SD,Columbia,198876.76,,525044.8,,243634.03,,1175501.78,97582.5,,16971.38,338042.0
116191503.0,Central Columbia SD,Columbia,31193.01,,715012.37,,0.0,,1243414.78,,39224.05,15.93,
116195004.0,Millville Area SD,Columbia,248556.78,,201559.82,,53349.12,,566065.9,,,,128749.94
116197503.0,Southern Columbia Area SD,Columbia,65844.0,,605378.17,,0.0,,1135514.03,,,,
105201033.0,Conneaut SD,Crawford,69989.72,,867585.74,,641701.01,,1483005.42,,58734.55,151208.39,
105201352.0,Crawford Central SD,Crawford,375665.56,,1935930.0,,1266410.35,,1919192.89,,476615.34,11.63,19600.0
105204703.0,Penncrest SD,Crawford,84400.72,,1212541.34,,874463.27,,1992770.0,,65827.68,3735.92,
115210503.0,Big Spring SD,Cumberland,400196.58,31648.27,1579654.41,0.0,1734925.98,2349767.59,840900.0,,97606.65,25260.91,
115211003.0,Camp Hill SD,Cumberland,361927.73,,520724.84,,225944.93,,87707.0,30554.0,51258.37,1206.0,
115211103.0,Carlisle Area SD,Cumberland,607759.17,,2150269.62,,1299455.91,,,206794.0,1970174.83,890753.62,2883283.46
115211603.0,Cumberland Valley SD,Cumberland,452457.0,301930.0,4531853.0,0.0,0.0,1215761.0,826467.0,477512.0,75051.0,,80741.0
115212503.0,East Pennsboro Area SD,Cumberland,1034191.27,129875.43,2107333.93,29917.9,1618629.53,35401.37,428798.0,188195.0,,1010.0,
115216503.0,Mechanicsburg Area SD,Cumberland,377301.06,99573.0,1226249.03,0.0,1639176.0,,392150.0,225392.0,51258.37,18.35,
115218003.0,Shippensburg Area SD,Cumberland,346900.53,3648.66,1394484.59,11766.22,1219220.13,1029143.64,985668.32,139670.96,,33720.0,1215.0
115218303.0,South Middleton SD,Cumberland,852835.31,,970272.57,,826420.18,229618.72,444141.0,84134.0,,,248043.0
115221402.0,Central Dauphin SD,Dauphin,820641.32,2724000.78,6178787.32,347403.85,4359531.2,,6506567.95,1017584.0,78000.6,3436786.27,95010.0
115221753.0,Derry Township SD,Dauphin,13583.07,,1135418.76,,578184.28,,496196.3,135944.0,74395.25,,
115222504.0,Halifax Area SD,Dauphin,296280.74,,982815.72,,314428.37,118800.0,732580.62,63322.0,167152.57,1185.0,
115222752.0,Harrisburg City SD,Dauphin,5589727.57,4037213.6,8177339.21,7654656.04,0.0,,3819274.0,395050.0,120243.02,27559.1,
115224003.0,Lower Dauphin SD,Dauphin,385727.37,101214.32,1030317.08,59687.84,1145698.3,308807.6,1090742.91,200014.7,97062.72,538129.57,
115226003.0,Middletown Area SD,Dauphin,70673.78,112333.5,1217494.25,39137.15,796707.05,,1138673.74,140581.37,95010.28,171471.94,5212.58
115226103.0,Millersburg Area SD,Dauphin,68516.37,,991736.34,,375657.7,250881.3,156326.4,45610.0,,1409.91,
115228003.0,Steelton-Highspire SD,Dauphin,908703.0,255379.0,2149382.0,56461.0,1011751.0,112360.0,394099.0,,57.0,564435.0,
115228303.0,Susquehanna Township SD,Dauphin,424051.73,441554.72,2004827.87,239503.07,1087435.82,,1468049.28,260374.0,1169071.53,6254.47,45557.83
115229003.0,Upper Dauphin Area SD,Dauphin,14801.22,,655986.2,,629233.08,704442.07,83462.4,54909.0,,,64482.0
125231232.0,Chester-Upland SD,Delaware,584083.72,9036206.85,25848211.3,8726960.51,15629955.48,175286.16,84682.97,7395.4,1847399.71,26041.45,6242.8
125231303.0,Chichester SD,Delaware,160866.34,1510742.83,1577617.36,457620.09,1413978.86,83138.42,890399.13,,789176.06,94622.2,
125234103.0,Garnet Valley SD,Delaware,215080.82,,431481.9,,278614.6,,615533.0,212188.5,1326759.54,55815.52,494193.99
125234502.0,Haverford Township SD,Delaware,8991.53,18528.36,317607.4,0.0,266203.23,1564983.89,847403.0,1369536.0,1390016.75,10581.13,
125235103.0,Interboro SD,Delaware,34860.41,216671.62,443387.87,42444.31,448532.9,627491.13,847992.0,380958.0,811969.96,15742.1,32183.7
125235502.0,Marple Newtown SD,Delaware,33744.33,,267254.67,,523595.55,3853115.7,325321.79,,441049.37,,
125236903.0,Penn-Delco SD,Delaware,38201.93,129501.32,644483.57,93521.7,494520.85,531202.26,655860.89,,685091.24,21999.96,129969.52
125237603.0,Radnor Township SD,Delaware,,37982.0,187389.58,0.0,131552.06,1191461.17,1910483.35,1194382.0,366119.1,,
125237702.0,Ridley SD,Delaware,69022.2,378916.03,1066039.83,593212.96,758512.08,2768021.04,,728075.0,1575979.69,56554.6,
125237903.0,Rose Tree Media SD,Delaware,35655.24,,993284.21,,426232.64,127070.23,350920.0,971745.0,1179996.25,5667.3,79117.5
125238402.0,Southeast Delco SD,Delaware,353352.57,7932194.0,,2955931.03,,-430767.08,983214.95,341151.0,3347508.19,45411.0,
125238502.0,Springfield SD,Delaware,172542.45,0.0,355873.73,40775.16,70459.88,268282.09,769986.0,608557.0,1564292.01,12782.96,80565.45
125239452.0,Upper Darby SD,Delaware,98106.33,3928428.6,3076763.84,2105840.82,2765819.44,4184700.69,1719916.71,856021.17,1524269.96,666686.06,
125239603.0,Wallingford-Swarthmore SD,Delaware,5846.16,34890.12,401101.81,42054.37,354317.69,,315450.0,183664.0,1042057.85,,8292.44
125239652.0,William Penn SD,Delaware,75823.54,8409038.76,4849940.94,599402.28,0.0,86511.53,976957.35,317985.0,976745.5,678264.8,230099.8
109243503.0,Johnsonburg Area SD,Elk,90164.29,,195689.08,,0.0,,,,,2772.88,
109246003.0,Ridgway Area SD,Elk,120589.81,,278333.69,,193042.57,,,,,18938.75,17189.0
109248003.0,Saint Marys Area SD,Elk,170469.8,,433343.89,,64742.04,,,,9494.74,,272634.48
105251453.0,Corry Area SD,Erie,76215.19,,915015.92,,273316.44,,,32900.0,62281.12,139585.87,
105252602.0,Erie City SD,Erie,2774622.61,13883883.26,4294155.59,9915264.02,3961999.84,,,,1630142.6,104819.46,
105253303.0,Fairview SD,Erie,79511.55,69089.92,242094.54,0.0,44587.2,,2186872.59,9886.95,31140.56,15250.82,
105253553.0,Fort LeBoeuf SD,Erie,142581.84,12060.27,650896.16,0.0,360829.12,,403548.96,,96806.06,39892.48,48425.0
