AUN,School District,County,Tuition to Other SDs in the State,"Tuition to Brick & Mortar Charter
Schools:
Nonspecial","Tuition to Cyber Charter
Schools:
Nonspecial","Tuition to Brick & Mortar Charter
Schools:
Special","Tuition to Cyber Charter
Schools:
Special",Tuition to Nonpublic Schools,Tuition to CTCs,Tuition to Higher Ed and Technical Institutes,Tuition to Approved Private Schools,Tuition to PRRIs and Detention Centers,Tuition to Other LEAs
112011103.0,Bermudian Springs SD,Adams,336166.95,414224.48,765111.57,18650.52,443239.21,,126011.0,,,387362.34,
112011603.0,Conewago Valley SD,Adams,112545.78,613551.55,1781412.73,242783.44,325039.11,,212026.0,,27207.74,,
112013054.0,Fairfield Area SD,Adams,379610.09,320954.71,289764.64,16631.15,208853.5,,122925.0,7000.0,,2371.96,
112013753.0,Gettysburg Area SD,Adams,280118.02,2225120.93,1069065.34,809442.58,533600.73,,316958.0,,,3058.43,702577.91
112015203.0,Littlestown Area SD,Adams,116270.81,535248.33,919381.54,198903.27,419895.59,,385177.5,34341.5,-352.77,357982.51,
112018523.0,Upper Adams SD,Adams,251902.41,699978.18,561443.43,305633.86,234075.51,,253275.0,,,37890.14,301755.4
103020603.0,Allegheny Valley SD,Allegheny,21399.55,93812.51,161208.07,116427.45,120072.17,,145662.0,9116.0,751191.74,267943.82,1050.0
103020753.0,Avonworth SD,Allegheny,,85883.74,148897.45,128625.79,222999.76,,388183.0,,230672.19,172519.54,38315.0
103021102.0,Baldwin-Whitehall SD,Allegheny,,644600.46,865072.89,0.0,0.0,,816406.35,,1072018.25,50087.42,16821.0
103021252.0,Bethel Park SD,Allegheny,81676.76,542409.26,333742.53,589408.5,366288.22,63169.8,695315.87,,1312594.76,37724.95,9600.0
103021453.0,Brentwood Borough SD,Allegheny,121886.12,246002.49,475657.89,233559.45,462992.15,30462.0,366906.72,,203481.36,26100.62,4575.7
103021603.0,Carlynton SD,Allegheny,15550.26,409007.78,478009.04,285485.96,283836.03,497106.4,456680.26,,195971.37,0.01,
103021752.0,Chartiers Valley SD,Allegheny,18000.0,340057.24,535075.47,116704.47,396597.46,,909064.51,,361150.12,2085.16,811648.86
103021903.0,Clairton City SD,Allegheny,,,,,,,,,,,
103022103.0,Cornell SD,Allegheny,16377.0,213856.0,418187.0,81526.0,159419.0,,208549.0,,178857.0,207489.0,
103022253.0,Deer Lakes SD,Allegheny,28956.91,,491484.26,,352135.17,303011.72,852206.18,3284.0,513257.39,1325.77,110479.14
103022503.0,Duquesne City SD,Allegheny,3735562.0,2244066.0,202047.0,1524540.0,387703.0,299084.0,123093.0,,109773.0,,375.0
103022803.0,East Allegheny SD,Allegheny,,3167439.04,1357474.93,0.0,0.0,5691.82,489300.96,,514729.11,389760.29,505194.36
103023153.0,Elizabeth Forward SD,Allegheny,70918.65,54937.92,579898.14,0.0,490613.29,,690162.53,,189729.81,,32560.0
103023912.0,Fox Chapel Area SD,Allegheny,197003.6,208252.8,451877.08,284826.45,563041.36,195701.53,673162.69,,795952.63,,
103024102.0,Gateway SD,Allegheny,193347.75,1474311.44,882228.2,1219667.76,1000774.13,994385.86,892248.77,,498272.6,,103991.3
103024603.0,Hampton Township SD,Allegheny,38445.54,16542.05,334024.58,139637.78,244025.57,,809847.98,,397836.57,4420.28,
103024753.0,Highlands SD,Allegheny,200777.0,342568.0,867493.0,310067.0,785189.0,1661014.0,396586.0,,431102.0,,
103025002.0,Keystone Oaks SD,Allegheny,91035.0,372288.0,306404.0,136735.0,226750.0,899034.0,525570.0,,133592.0,,
103026002.0,McKeesport Area SD,Allegheny,249212.0,4798785.0,982107.0,3628457.0,742591.0,,36932.0,,710443.0,386207.0,
103026303.0,Montour SD,Allegheny,146109.24,504954.15,425492.12,566087.78,352050.38,769433.39,839762.41,,138168.53,,39990.0
103026343.0,Moon Area SD,Allegheny,71288.41,,851260.2,,741959.73,580419.89,669700.04,,841086.68,39042.93,2471.56
103026402.0,Mt Lebanon SD,Allegheny,3468.8,77685.05,428968.19,63427.38,84959.93,762517.94,475877.7,,383825.43,19326.12,17325.0
103026852.0,North Allegheny SD,Allegheny,,347019.86,1203553.56,155563.08,395078.67,739779.36,1186572.47,,681157.07,34681.9,
