ADAMS COUNTY TECHNICAL INSTITUTE,Biology,All Students,2,NULL,NULL,NULL,NULL,2023
ADAMS COUNTY TECHNICAL INSTITUTE,Biology,White (not Hispanic),2,NULL,NULL,NULL,NULL,2023
ADAMS COUNTY TECHNICAL INSTITUTE,Literature,All Students,1,NULL,NULL,NULL,NULL,2023
ADAMS COUNTY TECHNICAL INSTITUTE,Literature,White (not Hispanic),1,NULL,NULL,NULL,NULL,2023
BERMUDIAN SPRINGS SD,Algebra I,All Students,79,3.8,7.6,63.3,25.3,2023
BERMUDIAN SPRINGS SD,Algebra I,White (not Hispanic),65,4.6,9.2,61.5,24.6,2023
BERMUDIAN SPRINGS SD,Algebra I,Hispanic (any race),11,0,0,72.7,27.3,2023
BERMUDIAN SPRINGS SD,Algebra I,Multi-Racial (not Hispanic),3,NULL,NULL,NULL,NULL,2023
BERMUDIAN SPRINGS SD,Algebra I,IEP,15,0,0,60,40,2023
BERMUDIAN SPRINGS SD,Algebra I,ELL,2,NULL,NULL,NULL,NULL,2023
BERMUDIAN SPRINGS SD,Algebra I,Economically Disadvantaged,34,2.9,2.9,61.8,32.4,2023
BERMUDIAN SPRINGS SD,Biology,All Students,150,19.3,30.7,28.7,21.3,2023
BERMUDIAN SPRINGS SD,Biology,White (not Hispanic),126,22.2,33.3,27.8,16.7,2023
BERMUDIAN SPRINGS SD,Biology,Hispanic (any race),20,5,15,35,45,2023
BERMUDIAN SPRINGS SD,Biology,Multi-Racial (not Hispanic),4,NULL,NULL,NULL,NULL,2023
BERMUDIAN SPRINGS SD,Biology,IEP,15,0,0,33.3,66.7,2023
BERMUDIAN SPRINGS SD,Biology,ELL,2,NULL,NULL,NULL,NULL,2023
BERMUDIAN SPRINGS SD,Biology,Economically Disadvantaged,51,5.9,23.5,37.3,33.3,2023
BERMUDIAN SPRINGS SD,Literature,All Students,148,5.4,58.1,25,11.5,2023
BERMUDIAN SPRINGS SD,Literature,White (not Hispanic),125,6.4,60,22.4,11.2,2023
