Year,School Name,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
2022,BERMUDIAN SPRINGS HS,Algebra I,All Students,11,58,37.9,37.9,15.5,8.6
2022,BERMUDIAN SPRINGS HS,Algebra I,Economically Disadvantaged,11,17,17.6,47.1,17.6,17.6
2022,BERMUDIAN SPRINGS HS,Biology,All Students,11,98,12.2,30.6,33.7,23.5
2022,BERMUDIAN SPRINGS HS,Biology,Economically Disadvantaged,11,33,6.1,27.3,30.3,36.4
2022,BERMUDIAN SPRINGS HS,Literature,All Students,11,28,0,21.4,50,28.6
2022,BERMUDIAN SPRINGS HS,Literature,Economically Disadvantaged,11,13,0,15.4,46.2,38.5
2022,NEW OXFORD SHS,Algebra I,All Students,11,106,65.1,16,3.8,15.1
2022,NEW OXFORD SHS,Algebra I,Economically Disadvantaged,11,29,51.7,10.3,10.3,27.6
2022,NEW OXFORD SHS,Algebra I,IEP,11,19,10.5,0,15.8,73.7
2022,NEW OXFORD SHS,Biology,All Students,11,128,7.8,31.3,40.6,20.3
2022,NEW OXFORD SHS,Biology,Economically Disadvantaged,11,48,2.1,29.2,45.8,22.9
2022,NEW OXFORD SHS,Biology,IEP,11,33,3,12.1,39.4,45.5
2022,NEW OXFORD SHS,Literature,All Students,11,241,10,54.8,27.4,7.9
2022,NEW OXFORD SHS,Literature,Economically Disadvantaged,11,75,4,50.7,32,13.3
2022,NEW OXFORD SHS,Literature,IEP,11,30,3.3,6.7,46.7,43.3
2022,FAIRFIELD AREA HS,Algebra I,All Students,11,35,34.3,48.6,8.6,8.6
2022,FAIRFIELD AREA HS,Biology,All Students,11,41,7.3,31.7,34.1,26.8
2022,FAIRFIELD AREA HS,Biology,Economically Disadvantaged,11,11,0,36.4,36.4,27.3
2022,FAIRFIELD AREA HS,Literature,All Students,11,67,4.5,56.7,25.4,13.4
2022,FAIRFIELD AREA HS,Literature,Economically Disadvantaged,11,12,0,50,33.3,16.7
2022,GETTYSBURG AREA HS,Algebra I,All Students,11,62,71,12.9,16.1,0
2022,GETTYSBURG AREA HS,Algebra I,Economically Disadvantaged,11,12,33.3,25,41.7,0
2022,GETTYSBURG AREA HS,Biology,All Students,11,205,20.5,35.1,34.6,9.8
2022,GETTYSBURG AREA HS,Biology,Economically Disadvantaged,11,65,7.7,27.7,43.1,21.5
2022,GETTYSBURG AREA HS,Biology,IEP,11,24,0,29.2,33.3,37.5
2022,GETTYSBURG AREA HS,Literature,All Students,11,218,16.1,52.3,24.3,7.3
2022,GETTYSBURG AREA HS,Literature,Economically Disadvantaged,11,65,7.7,47.7,30.8,13.8
2022,GETTYSBURG AREA HS,Literature,IEP,11,24,0,16.7,33.3,50
2022,LITTLESTOWN SHS,Algebra I,All Students,11,44,31.8,54.5,2.3,11.4
2022,LITTLESTOWN SHS,Algebra I,Economically Disadvantaged,11,11,18.2,45.5,9.1,27.3
